Opposing Team,IsHome,Points,Performance Index Rating,Two-point %,Three-point %,Free-throw %,Offensive rebounds,Defensive rebounds,Total rebounds,Assists,Steals,Blocks,Turnovers,Day,Month,Year,Date,target
Anadolu Efes Istanbul,1,73.0,76.0,54.3,38.5,62.5,8.0,19.0,27.0,18.0,6.0,1.0,13.0,12,12,2019,2019-12-12,0
Panathinaikos OPAP Athens,0,78.0,89.0,57.9,21.7,90.5,9.0,18.0,27.0,18.0,11.0,1.0,11.0,17,12,2019,2019-12-17,0
Zenit St Petersburg,1,81.0,85.0,48.4,46.2,75.0,10.0,22.0,32.0,22.0,1.0,0.0,14.0,19,12,2019,2019-12-19,0
Valencia Basket,1,98.0,104.0,54.1,38.7,95.7,10.0,21.0,31.0,16.0,9.0,2.0,12.0,27,12,2019,2019-12-27,1
Olympiacos Piraeus,0,96.0,110.0,50.0,55.2,93.3,11.0,16.0,27.0,20.0,11.0,0.0,10.0,2,1,2020,2020-01-02,1
KIROLBET Baskonia Vitoria-Gasteiz,0,79.0,90.0,52.4,59.3,90.0,4.0,22.0,26.0,22.0,5.0,1.0,17.0,9,1,2020,2020-01-09,1
LDLC ASVEL Villeurbanne,1,86.0,109.0,51.2,47.4,89.5,9.0,26.0,35.0,21.0,9.0,2.0,14.0,14,1,2020,2020-01-14,1
FC Barcelona,1,74.0,72.0,57.7,30.8,76.9,10.0,24.0,34.0,18.0,3.0,3.0,17.0,16,1,2020,2020-01-16,0
AX Armani Exchange Milan,1,73.0,85.0,58.6,38.5,81.8,6.0,23.0,29.0,22.0,8.0,0.0,13.0,24,1,2020,2020-01-24,0
ALBA Berlin,0,74.0,81.0,58.6,41.7,83.3,6.0,25.0,31.0,16.0,7.0,4.0,19.0,30,1,2020,2020-01-30,0
Zenit St Petersburg,0,73.0,77.0,62.1,43.5,77.8,8.0,24.0,32.0,17.0,4.0,2.0,17.0,5,2,2020,2020-02-05,0
Maccabi FOX Tel Aviv,1,77.0,90.0,55.6,25.0,86.4,12.0,18.0,30.0,17.0,7.0,0.0,10.0,7,2,2020,2020-02-07,1
Real Madrid,1,65.0,51.0,45.9,26.3,80.0,8.0,12.0,20.0,11.0,7.0,0.0,14.0,20,2,2020,2020-02-20,0
Valencia Basket,0,93.0,109.0,75.0,56.0,90.0,3.0,21.0,24.0,24.0,8.0,13.0,12.0,28,2,2020,2020-02-28,1
Crvena Zvezda mts Belgrade,1,66.0,74.0,50.0,31.8,72.2,5.0,23.0,28.0,13.0,8.0,2.0,10.0,4,3,2020,2020-03-04,0
Khimki Moscow Region,0,68.0,72.0,50.0,38.1,88.9,5.0,21.0,26.0,15.0,9.0,3.0,13.0,6,3,2020,2020-03-06,0
Panathinaikos OPAP Athens,1,73.0,86.0,50.0,33.3,66.7,9.0,23.0,33.0,17.0,5.0,2.0,12.0,13,3,2020,2020-03-13,0
FC Bayern Munich,0,73.0,86.0,50.0,33.3,66.7,9.0,23.0,33.0,17.0,5.0,2.0,12.0,20,3,2020,2020-03-20,0
Zalgiris Kaunas,0,73.0,86.0,50.0,33.3,66.7,9.0,23.0,33.0,17.0,5.0,2.0,12.0,24,3,2020,2020-03-24,0
CSKA Moscow,1,73.0,86.0,50.0,33.3,66.7,9.0,23.0,33.0,17.0,5.0,2.0,12.0,26,3,2020,2020-03-26,0
Olympiacos Piraeus,1,73.0,86.0,50.0,33.3,66.7,9.0,23.0,33.0,17.0,5.0,2.0,12.0,2,4,2020,2020-04-02,0
Anadolu Efes Istanbul,0,73.0,86.0,50.0,33.3,66.7,9.0,23.0,33.0,17.0,5.0,2.0,12.0,10,4,2020,2020-04-10,0
Crvena Zvezda mts Belgrade,1,77.0,88.0,50.0,41.7,68.8,9.0,24.0,33.0,17.0,6.0,3.0,13.0,2,10,2020,2020-10-02,0
Anadolu Efes Istanbul,0,80.0,85.0,46.7,52.9,84.6,14.0,34.0,48.0,14.0,6.0,1.0,21.0,8,10,2020,2020-10-08,0
CSKA Moscow,1,77.0,85.0,41.9,38.5,91.7,11.0,30.0,41.0,16.0,10.0,1.0,15.0,14,10,2020,2020-10-14,0
FC Bayern Munich,1,71.0,86.0,55.9,33.3,83.3,3.0,24.0,27.0,23.0,5.0,1.0,14.0,16,10,2020,2020-10-16,0
Panathinaikos OPAP Athens,0,68.0,77.0,47.2,37.5,77.8,6.0,23.0,29.0,20.0,4.0,2.0,8.0,22,10,2020,2020-10-22,0
Maccabi Playtika Tel Aviv,0,75.0,88.0,45.5,50.0,92.3,6.0,24.0,30.0,15.0,5.0,4.0,12.0,29,10,2020,2020-10-29,0
Khimki Moscow Region,1,83.0,96.0,56.8,39.1,66.7,4.0,29.0,33.0,21.0,11.0,2.0,12.0,6,11,2020,2020-11-06,1
FC Barcelona,0,55.0,46.0,56.3,22.2,87.5,7.0,17.0,24.0,17.0,5.0,1.0,25.0,12,11,2020,2020-11-12,0
TD Systems Baskonia Vitoria-Gasteiz,0,68.0,64.0,61.8,21.4,100.0,6.0,19.0,25.0,18.0,7.0,1.0,12.0,17,11,2020,2020-11-17,0
Real Madrid,0,74.0,66.0,53.1,44.0,100.0,8.0,21.0,29.0,10.0,5.0,0.0,17.0,20,11,2020,2020-11-20,0
Valencia Basket,1,86.0,101.0,44.4,48.1,93.8,10.0,22.0,32.0,24.0,4.0,1.0,11.0,27,11,2020,2020-11-27,1
Zenit St Petersburg,0,73.0,86.0,53.7,38.5,82.4,8.0,18.0,26.0,18.0,8.0,2.0,8.0,3,12,2020,2020-12-03,0
ALBA Berlin,0,63.0,63.0,51.7,27.3,83.3,11.0,19.0,30.0,16.0,5.0,1.0,20.0,10,12,2020,2020-12-10,0
AX Armani Exchange Milan,1,71.0,76.0,48.3,47.6,86.7,5.0,24.0,29.0,16.0,5.0,3.0,19.0,15,12,2020,2020-12-15,0
Zalgiris Kaunas,0,62.0,51.0,58.1,28.0,41.7,7.0,16.0,23.0,11.0,8.0,2.0,15.0,17,12,2020,2020-12-17,0
Olympiacos Piraeus,1,84.0,104.0,64.3,27.3,92.3,9.0,21.0,30.0,25.0,9.0,2.0,9.0,23,12,2020,2020-12-23,1
LDLC ASVEL Villeurbanne,1,81.0,97.0,63.0,41.2,100.0,8.0,26.0,34.0,23.0,8.0,1.0,17.0,30,12,2020,2020-12-30,1
Crvena Zvezda mts Belgrade,0,73.0,79.0,55.0,27.3,91.7,13.0,23.0,36.0,15.0,13.0,2.0,15.0,7,1,2021,2021-01-07,0
TD Systems Baskonia Vitoria-Gasteiz,1,96.0,117.0,71.9,53.6,83.3,6.0,21.0,27.0,29.0,8.0,2.0,16.0,12,1,2021,2021-01-12,1
Panathinaikos OPAP Athens,1,100.0,115.0,61.8,62.5,81.3,8.0,21.0,29.0,24.0,6.0,5.0,18.0,15,1,2021,2021-01-15,1
CSKA Moscow,0,89.0,104.0,60.0,50.0,87.5,4.0,19.0,23.0,22.0,5.0,3.0,8.0,22,1,2021,2021-01-22,1
Maccabi Playtika Tel Aviv,1,82.0,99.0,72.7,45.0,63.6,1.0,23.0,24.0,19.0,6.0,1.0,13.0,26,1,2021,2021-01-26,1
Khimki Moscow Region,0,107.0,155.0,85.3,45.5,86.4,10.0,29.0,39.0,29.0,10.0,3.0,16.0,28,1,2021,2021-01-28,1
Zenit St Petersburg,1,92.0,102.0,60.0,55.6,90.9,6.0,20.0,26.0,23.0,0.0,1.0,11.0,5,2,2021,2021-02-05,1
ALBA Berlin,1,89.0,104.0,60.0,35.0,87.5,8.0,24.0,32.0,25.0,7.0,5.0,11.0,19,2,2021,2021-02-19,1
Anadolu Efes Istanbul,1,74.0,62.0,58.3,28.6,66.7,10.0,14.0,24.0,16.0,4.0,2.0,14.0,26,2,2021,2021-02-26,0
AX Armani Exchange Milan,0,100.0,126.0,58.1,52.2,93.3,12.0,23.0,35.0,23.0,7.0,2.0,10.0,3,3,2021,2021-03-03,1
LDLC ASVEL Villeurbanne,0,90.0,103.0,56.1,52.6,82.4,9.0,23.0,32.0,19.0,5.0,3.0,12.0,5,3,2021,2021-03-05,1
Valencia Basket,0,52.0,36.0,56.3,13.0,70.0,4.0,26.0,30.0,12.0,7.0,1.0,18.0,12,3,2021,2021-03-12,0
Zalgiris Kaunas,1,84.0,117.0,60.5,55.6,66.7,9.0,30.0,39.0,23.0,5.0,2.0,11.0,18,3,2021,2021-03-18,1
Olympiacos Piraeus,0,76.0,96.0,68.4,21.1,100.0,7.0,22.0,29.0,18.0,12.0,1.0,16.0,26,3,2021,2021-03-26,1
FC Bayern Munich,0,77.0,91.0,61.1,33.3,75.0,7.0,23.0,30.0,11.0,5.0,3.0,11.0,30,3,2021,2021-03-30,1
FC Barcelona,1,73.0,76.0,55.9,41.2,87.5,9.0,12.0,21.0,15.0,8.0,1.0,16.0,2,4,2021,2021-04-02,0
Real Madrid,1,67.0,64.0,48.7,41.7,87.5,5.0,23.0,28.0,7.0,2.0,3.0,15.0,8,4,2021,2021-04-08,0
CSKA Moscow,0,76.0,71.0,52.6,41.2,78.9,6.0,15.0,21.0,15.0,10.0,3.0,15.0,21,4,2021,2021-04-21,0
CSKA Moscow,0,67.0,73.0,53.6,40.0,79.2,4.0,21.0,25.0,9.0,5.0,1.0,14.0,23,4,2021,2021-04-23,0
CSKA Moscow,1,68.0,57.0,56.4,31.6,60.0,8.0,22.0,30.0,13.0,5.0,0.0,19.0,28,4,2021,2021-04-28,0
Crvena Zvezda mts Belgrade,1,61.0,86.0,50.0,22.2,64.3,9.0,23.0,32.0,18.0,14.0,7.0,10.0,1,10,2021,2021-10-01,0
Panathinaikos OPAP Athens,0,87.0,94.0,61.9,40.0,64.7,9.0,24.0,33.0,21.0,5.0,2.0,13.0,7,10,2021,2021-10-07,1
ALBA Berlin,0,70.0,73.0,48.6,30.4,68.4,13.0,26.0,39.0,20.0,5.0,0.0,17.0,12,10,2021,2021-10-12,0
UNICS Kazan,1,80.0,108.0,63.2,38.1,72.7,12.0,33.0,45.0,16.0,9.0,6.0,18.0,14,10,2021,2021-10-14,1
Real Madrid,0,69.0,80.0,54.8,40.0,55.6,7.0,23.0,30.0,17.0,8.0,2.0,13.0,21,10,2021,2021-10-21,0
FC Barcelona,1,74.0,79.0,60.0,30.0,73.7,7.0,18.0,25.0,21.0,12.0,14.0,12.0,26,10,2021,2021-10-26,0
Olympiacos Piraeus,0,65.0,69.0,48.8,22.7,83.3,9.0,27.0,36.0,15.0,6.0,1.0,9.0,28,10,2021,2021-10-28,0
CSKA Moscow,0,91.0,108.0,56.8,55.0,84.2,9.0,19.0,28.0,22.0,6.0,2.0,10.0,4,11,2021,2021-11-04,1
AX Armani Exchange Milan,1,43.0,37.0,40.6,19.0,38.5,9.0,22.0,31.0,12.0,12.0,1.0,16.0,12,11,2021,2021-11-12,0
FC Bayern Munich,0,63.0,69.0,56.3,15.0,85.7,11.0,21.0,32.0,13.0,8.0,1.0,18.0,16,11,2021,2021-11-16,0
Zalgiris Kaunas,0,75.0,84.0,65.6,38.1,90.0,5.0,18.0,23.0,18.0,4.0,2.0,13.0,19,11,2021,2021-11-19,0
Anadolu Efes Istanbul,1,84.0,84.0,58.8,32.4,84.6,12.0,22.0,34.0,15.0,8.0,4.0,14.0,25,11,2021,2021-11-25,0
AS Monaco,1,96.0,120.0,55.6,59.1,73.9,11.0,25.0,36.0,28.0,10.0,0.0,16.0,2,12,2021,2021-12-02,1
Zenit St Petersburg,0,86.0,109.0,78.1,33.3,77.8,4.0,18.0,22.0,22.0,12.0,1.0,15.0,9,12,2021,2021-12-09,1
Maccabi Playtika Tel Aviv,1,90.0,114.0,59.0,40.0,82.4,12.0,26.0,38.0,19.0,8.0,6.0,13.0,14,12,2021,2021-12-14,1
Baskonia Vitoria-Gasteiz,1,75.0,101.0,56.4,33.3,57.1,10.0,22.0,32.0,22.0,12.0,3.0,7.0,16,12,2021,2021-12-16,1
LDLC ASVEL Villeurbanne,0,82.0,89.0,77.4,21.4,84.2,13.0,21.0,34.0,14.0,8.0,0.0,20.0,23,12,2021,2021-12-23,0
Olympiacos Piraeus,1,94.0,106.0,57.6,51.7,84.6,4.0,24.0,28.0,27.0,9.0,2.0,12.0,11,1,2022,2022-01-11,1
Zalgiris Kaunas,1,73.0,90.0,50.0,36.0,75.0,9.0,26.0,35.0,17.0,9.0,1.0,14.0,20,1,2022,2022-01-20,1
LDLC ASVEL Villeurbanne,1,85.0,95.0,64.1,23.8,74.1,11.0,25.0,36.0,17.0,7.0,2.0,14.0,1,2,2022,2022-02-01,1
AX Armani Exchange Milan,0,71.0,80.0,67.6,27.3,58.3,12.0,21.0,33.0,18.0,9.0,3.0,14.0,3,2,2022,2022-02-03,0
Real Madrid,1,66.0,80.0,57.1,20.7,80.0,11.0,30.0,41.0,18.0,8.0,2.0,13.0,8,2,2022,2022-02-08,0
AS Monaco,0,78.0,82.0,50.0,37.1,82.6,6.0,19.0,25.0,14.0,12.0,2.0,14.0,25,2,2022,2022-02-25,0
Crvena Zvezda mts Belgrade,0,69.0,68.0,58.8,27.3,73.3,8.0,16.0,24.0,14.0,1.0,0.0,6.0,27,2,2022,2022-02-27,0
Anadolu Efes Istanbul,0,79.0,83.0,47.8,30.8,91.7,15.0,24.0,39.0,18.0,5.0,2.0,6.0,3,3,2022,2022-03-03,0
Baskonia Vitoria-Gasteiz,0,62.0,67.0,52.6,31.3,70.0,6.0,24.0,30.0,19.0,7.0,1.0,14.0,23,3,2022,2022-03-23,0
FC Barcelona,0,67.0,69.0,48.4,40.9,83.3,8.0,16.0,24.0,13.0,7.0,0.0,15.0,25,3,2022,2022-03-25,0
ALBA Berlin,1,57.0,59.0,46.7,27.6,62.5,9.0,20.0,29.0,18.0,6.0,4.0,9.0,29,3,2022,2022-03-29,0
FC Bayern Munich,1,81.0,98.0,60.5,38.9,66.7,10.0,24.0,34.0,18.0,6.0,13.0,12.0,4,4,2022,2022-04-04,1
Panathinaikos OPAP Athens,1,59.0,61.0,47.2,27.3,70.0,12.0,21.0,33.0,13.0,7.0,4.0,16.0,8,4,2022,2022-04-08,0
Maccabi Playtika Tel Aviv,0,76.0,86.0,78.6,24.0,63.6,3.0,25.0,28.0,24.0,5.0,0.0,17.0,13,4,2022,2022-04-13,0
FC Bayern Munich,0,74.0,90.0,55.8,31.6,80.0,10.0,20.0,30.0,20.0,8.0,1.0,8.0,6,10,2022,2022-10-06,1
Maccabi Playtika Tel Aviv,1,86.0,106.0,46.9,41.4,69.0,18.0,28.0,46.0,20.0,5.0,1.0,12.0,14,10,2022,2022-10-14,1
LDLC ASVEL Villeurbanne,1,84.0,92.0,60.6,44.4,66.7,6.0,23.0,29.0,18.0,13.0,1.0,17.0,18,10,2022,2022-10-18,1
Valencia Basket,1,79.0,93.0,56.7,33.3,75.0,8.0,25.0,33.0,21.0,9.0,2.0,8.0,20,10,2022,2022-10-20,1
Anadolu Efes Istanbul,0,88.0,87.0,45.5,53.8,75.0,11.0,24.0,35.0,17.0,5.0,2.0,11.0,28,10,2022,2022-10-28,0
FC Barcelona,0,73.0,86.0,50.0,33.3,66.7,9.0,23.0,33.0,17.0,5.0,2.0,12.0,4,11,2022,2022-11-04,0
Crvena Zvezda Meridianbet Belgrade,1,93.0,110.0,68.8,37.9,84.2,12.0,23.0,35.0,24.0,4.0,1.0,14.0,10,11,2022,2022-11-10,1
Panathinaikos Athens,1,107.0,133.0,78.6,48.0,55.6,9.0,28.0,37.0,21.0,7.0,6.0,12.0,18,11,2022,2022-11-18,1
AS Monaco,0,96.0,115.0,54.1,48.1,77.3,11.0,22.0,33.0,25.0,10.0,1.0,9.0,22,11,2022,2022-11-22,1
EA7 Emporio Armani Milan,0,82.0,104.0,63.9,42.1,75.0,6.0,27.0,33.0,21.0,8.0,1.0,17.0,24,11,2022,2022-11-24,1
Real Madrid,1,71.0,66.0,46.7,25.0,68.8,13.0,16.0,29.0,17.0,6.0,1.0,7.0,2,12,2022,2022-12-02,0
ALBA Berlin,0,104.0,129.0,75.0,55.6,66.7,8.0,27.0,35.0,27.0,10.0,0.0,22.0,8,12,2022,2022-12-08,1
Olympiacos Piraeus,0,67.0,42.0,44.0,37.0,71.4,11.0,16.0,27.0,10.0,9.0,1.0,25.0,13,12,2022,2022-12-13,0
Cazoo Baskonia Vitoria-Gasteiz,1,70.0,74.0,43.2,33.3,53.3,11.0,29.0,40.0,16.0,5.0,1.0,11.0,16,12,2022,2022-12-16,0
Partizan Mozzart Bet Belgrade,1,72.0,77.0,58.8,25.0,70.0,7.0,26.0,33.0,19.0,5.0,2.0,10.0,22,12,2022,2022-12-22,0
Virtus Segafredo Bologna,0,88.0,95.0,63.4,32.0,75.0,16.0,21.0,37.0,15.0,6.0,2.0,15.0,30,12,2022,2022-12-30,1
Zalgiris Kaunas,0,66.0,55.0,47.4,30.4,47.4,18.0,13.0,31.0,15.0,4.0,1.0,15.0,5,1,2023,2023-01-05,0
Panathinaikos Athens,0,94.0,99.0,59.5,44.4,70.0,12.0,19.0,31.0,21.0,13.0,0.0,16.0,10,1,2023,2023-01-10,1
FC Bayern Munich,1,79.0,90.0,50.0,33.3,73.7,16.0,28.0,44.0,16.0,6.0,14.0,12.0,12,1,2023,2023-01-12,1
AS Monaco,1,98.0,110.0,69.8,23.3,58.6,14.0,31.0,45.0,20.0,2.0,5.0,11.0,19,1,2023,2023-01-19,1
LDLC ASVEL Villeurbanne,0,77.0,76.0,60.6,40.9,76.9,7.0,18.0,25.0,11.0,7.0,1.0,14.0,26,1,2023,2023-01-26,0
Olympiacos Piraeus,1,73.0,64.0,45.5,33.3,58.3,19.0,16.0,35.0,16.0,6.0,1.0,13.0,31,1,2023,2023-01-31,0
ALBA Berlin,1,101.0,115.0,57.4,32.1,83.3,14.0,24.0,38.0,17.0,8.0,2.0,8.0,3,2,2023,2023-02-03,1
Partizan Mozzart Bet Belgrade,0,97.0,107.0,63.3,53.8,70.8,7.0,16.0,23.0,21.0,6.0,1.0,8.0,23,2,2023,2023-02-23,1
Virtus Segafredo Bologna,1,104.0,139.0,55.9,50.0,75.0,14.0,29.0,43.0,27.0,8.0,6.0,13.0,3,3,2023,2023-03-03,1
Maccabi Playtika Tel Aviv,0,74.0,73.0,61.1,20.6,50.0,17.0,24.0,41.0,16.0,7.0,1.0,10.0,8,3,2023,2023-03-08,0
FC Barcelona,1,81.0,102.0,54.3,42.9,84.2,5.0,24.0,29.0,19.0,3.0,3.0,7.0,10,3,2023,2023-03-10,1
Valencia Basket,0,80.0,76.0,65.5,34.4,60.0,9.0,21.0,30.0,16.0,8.0,4.0,16.0,16,3,2023,2023-03-16,0
EA7 Emporio Armani Milan,1,75.0,74.0,45.2,28.6,77.8,17.0,19.0,36.0,10.0,8.0,0.0,5.0,21,3,2023,2023-03-21,0
Zalgiris Kaunas,1,87.0,102.0,58.3,50.0,78.3,6.0,18.0,24.0,19.0,5.0,2.0,7.0,24,3,2023,2023-03-24,1
Real Madrid,0,75.0,65.0,48.8,30.8,78.6,11.0,19.0,30.0,12.0,3.0,0.0,7.0,29,3,2023,2023-03-29,0
Cazoo Baskonia Vitoria-Gasteiz,0,69.0,53.0,46.7,23.5,68.2,11.0,17.0,28.0,12.0,8.0,2.0,11.0,31,3,2023,2023-03-31,0
Anadolu Efes Istanbul,1,103.0,120.0,69.6,55.6,81.8,12.0,18.0,30.0,20.0,1.0,2.0,8.0,6,4,2023,2023-04-06,1
Crvena Zvezda Meridianbet Belgrade,0,89.0,105.0,48.8,35.7,73.9,18.0,20.0,38.0,25.0,9.0,3.0,15.0,13,4,2023,2023-04-13,1
Olympiacos Piraeus,0,68.0,78.0,45.7,45.0,81.8,9.0,25.0,34.0,18.0,5.0,1.0,14.0,26,4,2023,2023-04-26,0
Olympiacos Piraeus,0,82.0,92.0,48.9,35.0,77.3,15.0,19.0,34.0,21.0,6.0,0.0,7.0,28,4,2023,2023-04-28,1
Olympiacos Piraeus,1,71.0,79.0,42.9,36.8,93.3,8.0,26.0,34.0,17.0,8.0,1.0,10.0,3,5,2023,2023-05-03,0
Olympiacos Piraeus,1,73.0,83.0,50.0,50.0,63.2,7.0,23.0,30.0,16.0,5.0,1.0,13.0,5,5,2023,2023-05-05,0
Olympiacos Piraeus,0,72.0,62.0,45.7,29.6,88.9,10.0,20.0,30.0,12.0,4.0,0.0,8.0,9,5,2023,2023-05-09,0
EA7 Emporio Armani Milan,1,85.0,74.0,52.9,45.2,63.6,4.0,23.0,27.0,15.0,5.0,1.0,12.0,6,10,2023,2023-10-06,0
Valencia Basket,0,74.0,67.0,53.6,29.7,57.9,12.0,20.0,32.0,13.0,6.0,6.0,9.0,13,10,2023,2023-10-13,0
Panathinaikos AKTOR Athens,1,83.0,93.0,58.1,40.0,91.7,11.0,23.0,34.0,20.0,6.0,1.0,13.0,17,10,2023,2023-10-17,1
LDLC ASVEL Villeurbanne,1,101.0,120.0,61.8,42.1,68.8,15.0,22.0,37.0,22.0,8.0,1.0,8.0,19,10,2023,2023-10-19,1
FC Bayern Munich,0,76.0,81.0,45.5,25.9,83.3,17.0,31.0,48.0,10.0,5.0,4.0,11.0,27,10,2023,2023-10-27,0
Olympiacos Piraeus,1,79.0,92.0,69.7,29.2,85.7,6.0,19.0,25.0,22.0,6.0,3.0,9.0,2,11,2023,2023-11-02,1
Partizan Mozzart Bet Belgrade,0,84.0,98.0,60.0,35.5,93.8,12.0,22.0,34.0,18.0,3.0,2.0,12.0,9,11,2023,2023-11-09,1
Crvena Zvezda Meridianbet Belgrade,0,56.0,52.0,45.5,33.3,50.0,6.0,19.0,25.0,13.0,2.0,6.0,12.0,14,11,2023,2023-11-14,0
Maccabi Playtika Tel Aviv,0,73.0,73.0,40.7,39.3,75.0,8.0,25.0,33.0,14.0,3.0,3.0,16.0,16,11,2023,2023-11-16,0
Virtus Segafredo Bologna,0,79.0,90.0,59.1,20.8,92.3,10.0,22.0,32.0,19.0,6.0,1.0,9.0,23,11,2023,2023-11-23,1
Real Madrid,1,100.0,99.0,47.7,37.5,81.5,15.0,22.0,37.0,14.0,8.0,1.0,11.0,30,11,2023,2023-11-30,1
Baskonia Vitoria-Gasteiz,0,79.0,90.0,57.9,40.9,72.7,9.0,21.0,30.0,19.0,6.0,0.0,13.0,6,12,2023,2023-12-06,1
FC Barcelona,0,81.0,83.0,48.8,50.0,90.0,10.0,17.0,27.0,13.0,3.0,4.0,10.0,8,12,2023,2023-12-08,0
AS Monaco,1,86.0,104.0,58.3,30.0,94.4,17.0,30.0,47.0,21.0,4.0,1.0,9.0,15,12,2023,2023-12-15,1
Zalgiris Kaunas,1,80.0,91.0,50.0,43.5,82.4,7.0,23.0,30.0,18.0,9.0,3.0,14.0,20,12,2023,2023-12-20,1
ALBA Berlin,0,91.0,112.0,61.1,42.9,91.7,11.0,28.0,39.0,25.0,3.0,3.0,16.0,22,12,2023,2023-12-22,1
Anadolu Efes Istanbul,0,89.0,104.0,71.9,38.7,70.0,8.0,25.0,33.0,22.0,6.0,13.0,12.0,28,12,2023,2023-12-28,1
Crvena Zvezda Meridianbet Belgrade,1,76.0,75.0,41.9,48.1,64.7,8.0,24.0,32.0,20.0,6.0,1.0,15.0,2,1,2024,2024-01-02,0
Maccabi Playtika Tel Aviv,1,109.0,147.0,76.3,48.0,88.2,6.0,29.0,35.0,27.0,8.0,2.0,8.0,4,1,2024,2024-01-04,1
Partizan Mozzart Bet Belgrade,1,91.0,104.0,59.4,51.9,73.3,8.0,25.0,33.0,19.0,4.0,4.0,11.0,9,1,2024,2024-01-09,1
FC Bayern Munich,1,98.0,112.0,54.3,44.8,87.5,9.0,24.0,33.0,16.0,7.0,3.0,14.0,11,1,2024,2024-01-11,1
Zalgiris Kaunas,0,75.0,74.0,38.2,30.0,88.0,17.0,16.0,33.0,13.0,4.0,1.0,11.0,19,1,2024,2024-01-19,0
Virtus Segafredo Bologna,1,88.0,97.0,68.4,31.8,78.9,6.0,28.0,34.0,17.0,4.0,3.0,11.0,25,1,2024,2024-01-25,1
LDLC ASVEL Villeurbanne,0,83.0,98.0,54.3,43.5,88.2,12.0,19.0,31.0,20.0,4.0,7.0,11.0,30,1,2024,2024-01-30,1
AS Monaco,0,69.0,63.0,53.6,32.3,81.8,14.0,26.0,40.0,14.0,3.0,2.0,20.0,2,2,2024,2024-02-02,0
Panathinaikos AKTOR Athens,0,63.0,60.0,58.1,22.7,75.0,7.0,22.0,29.0,17.0,6.0,1.0,13.0,9,2,2024,2024-02-09,0
Baskonia Vitoria-Gasteiz,1,111.0,140.0,67.6,55.9,66.7,5.0,17.0,22.0,32.0,9.0,5.0,6.0,1,3,2024,2024-03-01,1
Real Madrid,0,89.0,94.0,58.5,26.7,94.4,17.0,28.0,45.0,16.0,5.0,1.0,13.0,7,3,2024,2024-03-07,1
Valencia Basket,1,118.0,136.0,51.6,63.2,87.5,10.0,22.0,32.0,25.0,6.0,3.0,10.0,14,3,2024,2024-03-14,1
FC Barcelona,1,88.0,101.0,50.0,44.8,87.5,9.0,24.0,33.0,12.0,9.0,2.0,13.0,20,3,2024,2024-03-20,1
EA7 Emporio Armani Milan,0,76.0,78.0,64.3,37.9,77.8,7.0,21.0,28.0,17.0,8.0,1.0,15.0,22,3,2024,2024-03-22,0
ALBA Berlin,1,103.0,139.0,76.9,42.9,75.0,5.0,23.0,28.0,27.0,13.0,4.0,10.0,29,3,2024,2024-03-29,1
Anadolu Efes Istanbul,1,80.0,71.0,35.7,42.4,78.3,15.0,23.0,38.0,12.0,4.0,1.0,15.0,5,4,2024,2024-04-05,0
Olympiacos Piraeus,0,81.0,79.0,66.7,28.1,66.7,11.0,27.0,38.0,14.0,7.0,1.0,15.0,12,4,2024,2024-04-12,0
AS Monaco,0,95.0,100.0,51.6,46.7,72.4,13.0,28.0,41.0,17.0,3.0,0.0,13.0,24,4,2024,2024-04-24,1
AS Monaco,0,88.0,86.0,51.7,45.7,76.9,5.0,20.0,25.0,18.0,6.0,1.0,12.0,26,4,2024,2024-04-26,0
AS Monaco,1,89.0,108.0,63.9,39.3,76.9,8.0,24.0,32.0,22.0,8.0,2.0,8.0,1,5,2024,2024-05-01,1
AS Monaco,1,62.0,65.0,38.7,34.4,71.4,17.0,25.0,42.0,13.0,3.0,1.0,13.0,3,5,2024,2024-05-03,0
AS Monaco,0,80.0,89.0,51.9,42.9,77.8,13.0,19.0,32.0,17.0,7.0,2.0,14.0,8,5,2024,2024-05-08,0
Panathinaikos AKTOR Athens,0,57.0,42.0,45.8,25.7,88.9,9.0,20.0,29.0,14.0,6.0,0.0,15.0,24,5,2024,2024-05-24,0
Olympiacos Piraeus,0,84.0,101.0,52.8,42.9,58.8,11.0,19.0,30.0,24.0,11.0,3.0,11.0,26,5,2024,2024-05-26,1
Olympiacos Piraeus,1,82.0,103.0,59.5,29.2,77.3,14.0,30.0,44.0,18.0,4.0,3.0,12.0,4,10,2024,2024-10-04,1
Anadolu Efes Istanbul,0,83.0,87.0,30.0,55.6,93.3,16.0,25.0,41.0,20.0,3.0,4.0,10.0,10,10,2024,2024-10-10,0
Crvena Zvezda Meridianbet Belgrade,1,57.0,46.0,37.5,30.4,80.0,11.0,21.0,32.0,13.0,4.0,2.0,18.0,15,10,2024,2024-10-15,0
ALBA Berlin,0,78.0,86.0,37.9,43.3,73.9,11.0,22.0,33.0,14.0,8.0,3.0,10.0,17,10,2024,2024-10-17,0
Panathinaikos AKTOR Athens,1,76.0,70.0,55.2,41.4,66.7,7.0,26.0,33.0,14.0,7.0,1.0,15.0,25,10,2024,2024-10-25,0
Maccabi Playtika Tel Aviv,1,84.0,94.0,48.8,37.0,85.7,18.0,21.0,39.0,21.0,8.0,2.0,14.0,29,10,2024,2024-10-29,1
